StateAbb	PlaceName	longitude	latitude	DistancetoCapitalCity_km
CA	Adams Trail	-116.91697	33.33948	699
CA	Adams Waste	-119.89348	36.63273	243
CA	Adams-Truman Elementary School	-116.28806	33.68613	704
CA	Adamson Landing Field (historical)	-117.99953	36.28133	392
CA	Adamson Mine	-118.72318	37.39799	272
CA	Adamsville State Historic Landmark	-121.07382	37.58438	98
CA	Adante Hotel	-122.41320	37.78660	100
CA	Adas Yeshuran Cemetery	-121.27356	37.87798	61
CA	Adat Elohim Chai'im Church	-117.34699	34.49250	573
CA	Adda Clevenger Junior Preparatory School	-122.42450	37.75367	103
CA	Addams Elementary School	-119.78820	36.76578	238
CA	Addams Elementary School	-118.19160	33.85302	586
CA	Addicott School	-119.73709	36.78273	239
CA	Addie L Klotz Student Health Center	-118.52647	34.23806	534
CA	Addington Ranch (historical)	-122.03472	40.46460	235
CA	Addington Springs	-122.71110	39.24850	139
CA	Addison Elementary School	-122.15091	37.44596	116
CA	Addle Canyon	-117.96148	36.91965	356
CA	Adela	-120.86327	37.78854	89
CA	Adelaida	-120.87351	35.64553	310
CA	Adelaida Cemetery	-120.87379	35.65636	308
CA	Adelaide Mine	-120.18574	37.66465	144
CA	Adelaide Price Elementary School	-117.93728	33.84029	600
CA	Adelante Dual Language Academy	-121.78186	37.31659	120
CA	Adelante High School	-121.27995	38.75268	48
CA	Adelante School	-122.24443	37.45434	119
CA	Adelanto	-117.40922	34.58277	562
CA	Adelanto Airport	-117.46460	34.53619	562
CA	Adelanto Branch San Bernardino County Library	-117.41394	34.57944	562
CA	Adelanto Christian School	-117.41755	34.59027	561
CA	Adelanto Correctional Facility	-117.43616	34.55833	562
CA	Adelanto Elementary School	-117.40894	34.57610	562
CA	Adelanto Park	-117.40783	34.57583	562
CA	Adelanto Post Office	-117.40616	34.57888	562
CA	Adele Harrison Middle School	-122.45860	38.28000	80
CA	Adelia Mine	-120.56326	38.06131	94
CA	Adeline C Walker Elementary School	-117.85700	33.74002	613
CA	Adeline Street Station (historical)	-122.27219	37.84715	86
CA	Adeline Street Station (historical)	-122.28830	37.80382	91
CA	Adin	-120.94524	41.19378	317
CA	Adin Airport	-120.94755	41.18714	316
CA	Adin Cemetery	-120.95775	41.19072	316
CA	Adin Fire Protection District	-120.94316	41.19776	317
CA	Adin Pass	-120.92136	41.34656	334
CA	Adin Post Office	-120.94386	41.19739	317
CA	Adin Summit Pond	-120.93552	41.33739	333
CA	Adin station	-120.94663	41.19378	317
CA	Adit Number One	-122.84138	38.80491	122
CA	Adit Number One-One Hundred Twenty	-122.84277	38.80629	122
CA	Adit Number Three	-122.82194	38.78102	119
CA	Adit Number Two	-122.83194	38.80296	121
CA	Adkins Mountain	-119.81071	37.13800	207
CA	Adlena Park	-117.95562	33.87251	596
